date,value,classification,total_pnl,avg_pnl_per_trade,trade_count
2024-07-18,61,Greed,3803.884311,63.398071849999994,60
2024-07-19,60,Greed,2155.891114,93.73439626086956,23
2024-07-20,74,Greed,2299.169566,8.643494609022557,266
2024-07-21,74,Greed,-2960.716887,-6.608743051339286,448
2024-07-22,70,Greed,1517.119876,9.851427766233765,154
2024-07-23,71,Greed,89890.302206,242.9467627189189,370
2024-07-24,69,Greed,625.561479,6.9506831,90
2024-07-25,68,Greed,916.7382600000001,11.753054615384617,78
2024-07-26,68,Greed,2766.513113,18.200744164473683,152
2024-07-27,72,Greed,6400.623656,112.2916430877193,57
2024-07-28,71,Greed,587.29903,36.706189375,16
2024-07-29,74,Greed,330.80445399999996,8.482165487179486,39
2024-07-30,67,Greed,0.0,0.0,6
2024-07-31,61,Greed,765.690884,17.806764744186047,43
2024-08-01,52,Neutral,167.080017,2.9312283684210527,57
2024-08-02,57,Greed,782.3681909999999,12.418542714285714,63
2024-08-03,37,Fear,464.1897,12.545667567567568,37
2024-08-04,34,Fear,-122672.000883,-965.9212667952756,127
2024-08-05,26,Fear,-13013.665169,-162.6708146125,80
2024-08-06,17,Extreme Fear,267.318048,2.4982995140186914,107
2024-08-07,29,Fear,188.789255,5.720886515151515,33
2024-08-08,20,Extreme Fear,-40.712216999999995,-4.5235796666666666,9
2024-08-09,48,Neutral,18082.071276,125.56993941666666,144
2024-08-10,40,Fear,0.0,0.0,88
2024-08-11,39,Fear,847.7766200000001,35.32402583333334,24
2024-08-12,25,Fear,858.6705000000001,17.88896875,48
2024-08-13,31,Fear,212.08102,9.220913913043479,23
2024-08-14,30,Fear,2168.9015130000003,86.75606052,25
2024-08-15,29,Fear,0.0,0.0,12
2024-08-16,27,Fear,825.230544,23.578015542857145,35
2024-08-17,25,Fear,-288.283113,-9.609437100000001,30
2024-08-18,31,Fear,307.201888,20.480125866666665,15
2024-08-19,28,Fear,339.69958299999996,42.462447874999995,8
2024-08-20,30,Fear,192.602844,16.050237,12
2024-08-21,26,Fear,656.200925,4.525523620689655,145
2024-08-23,34,Fear,1005.30527,100.53052699999999,10
2024-08-24,56,Greed,0.0,0.0,7
2024-08-25,54,Neutral,0.0,0.0,17
2024-08-26,55,Greed,231.236918,38.539486333333336,6
2024-08-27,48,Neutral,0.0,0.0,50
2024-08-28,30,Fear,1333.359645,148.15107166666667,9
2024-08-29,29,Fear,0.0,0.0,1
2024-08-30,34,Fear,256.464,42.744,6
2024-08-31,29,Fear,10.882801,0.3200823823529412,34
2024-09-01,26,Fear,137.433093,11.452757750000002,12
2024-09-02,26,Fear,0.0,0.0,2
2024-09-04,27,Fear,1065.785132,31.346621529411763,34
2024-09-05,29,Fear,0.0,0.0,1
2024-09-06,22,Extreme Fear,-1104.856765,-26.306113452380952,42
2024-09-08,29,Fear,0.0,0.0,1
2024-09-09,26,Fear,0.0,0.0,2
2024-09-10,33,Fear,-219.729659,-73.24321966666666,3
2024-09-11,37,Fear,0.0,0.0,1
2024-09-14,50,Neutral,0.0,0.0,11
2024-09-18,45,Neutral,-878.684794,-6.059895131034483,145
2024-09-19,49,Neutral,0.0,0.0,19
2024-09-20,54,Neutral,9585.03428,599.0646425,16
2024-09-21,54,Neutral,36165.56933,1572.416057826087,23
2024-09-22,52,Neutral,0.0,0.0,3
2024-09-23,50,Neutral,334.760796,167.380398,2
2024-09-24,54,Neutral,0.0,0.0,10
2024-09-25,59,Greed,0.0,0.0,9
2024-09-26,50,Neutral,439.812513,54.976564125,8
2024-09-27,61,Greed,0.0,0.0,56
2024-09-28,64,Greed,0.0,0.0,4
2024-09-30,61,Greed,2710.626288,25.571946113207545,106
2024-10-01,50,Neutral,0.0,0.0,4
2024-10-02,42,Fear,0.0,0.0,4
2024-10-03,37,Fear,100.375782,11.152864666666666,9
2024-10-04,41,Fear,0.0,0.0,1
2024-10-05,49,Neutral,5767.161892,155.86924032432432,37
2024-10-06,50,Neutral,130.487079,5.9312308636363635,22
2024-10-07,50,Neutral,0.0,0.0,21
2024-10-08,49,Neutral,5396.546638,149.90407327777777,36
2024-10-09,49,Neutral,396.06272,28.290194285714286,14
2024-10-10,39,Fear,0.0,0.0,16
2024-10-11,32,Fear,8885.327477,341.74336450000004,26
2024-10-12,49,Neutral,541.55471,54.155471,10
2024-10-13,50,Neutral,0.0,0.0,10
2024-10-14,48,Neutral,1913.61958,382.72391600000003,5
2024-10-15,65,Greed,1170.2260760000001,167.17515371428573,7
2024-10-16,73,Greed,219.480876,19.95280690909091,11
2024-10-17,71,Greed,36.11496,4.0127733333333335,9
2024-10-18,73,Greed,333.219141,55.536523499999994,6
2024-10-19,72,Greed,0.0,0.0,4
2024-10-20,73,Greed,389.155797,4.05370621875,96
2024-10-21,72,Greed,2464.915564,14.248066843930635,173
2024-10-22,70,Greed,0.0,0.0,3
2024-10-23,71,Greed,-46.489941,-2.5827745,18
2024-10-25,72,Greed,13235.862071,441.19540236666666,30
2024-10-27,74,Greed,666.6623079999999,166.66557699999998,4
2024-10-28,72,Greed,167.28016200000002,12.867704769230771,13
2024-10-29,72,Greed,801.170876,15.11643162264151,53
